,lastUpdateId,ask_price,ask_QTY,bid_price,bid_QTY
0,690780899,0.00178170,6.51000000,0.00178160,3.74000000
1,690780899,0.00178180,245.68000000,0.00178150,82.39000000
2,690780899,0.00178190,60.98000000,0.00178140,83.94000000
3,690780899,0.00178200,3.70000000,0.00178130,6.42000000
4,690780899,0.00178210,7.44000000,0.00178120,245.74000000
5,690780899,0.00178220,0.53000000,0.00178110,10.00000000
6,690780899,0.00178230,1.98000000,0.00178100,0.50000000
7,690780899,0.00178240,0.75000000,0.00178090,121.61000000
8,690780899,0.00178250,3.30000000,0.00178080,4.28000000
9,690780899,0.00178260,13.72000000,0.00178050,630.00000000
10,690780899,0.00178270,13.19000000,0.00178030,28.22000000
11,690780899,0.00178280,1202.19000000,0.00178000,800.00000000
12,690780899,0.00178290,119.77000000,0.00177990,682.10000000
13,690780899,0.00178300,23.55000000,0.00177980,49.88000000
14,690780899,0.00178310,5.09000000,0.00177970,122.25000000
15,690780899,0.00178320,144.89000000,0.00177960,9.97000000
16,690780899,0.00178330,0.44000000,0.00177950,800.00000000
17,690780899,0.00178340,157.29000000,0.00177930,125.54000000
18,690780899,0.00178350,121.15000000,0.00177920,49.91000000
19,690780899,0.00178360,9.09000000,0.00177900,891.00000000
20,690780899,0.00178370,56.21000000,0.00177890,127.50000000
21,690780899,0.00178380,117.22000000,0.00177870,304.11000000
22,690780899,0.00178390,10.34000000,0.00177860,154.22000000
23,690780899,0.00178400,277.59000000,0.00177850,143.98000000
24,690780899,0.00178410,0.59000000,0.00177830,2.70000000
25,690780899,0.00178420,125.00000000,0.00177810,0.06000000
26,690780899,0.00178430,255.68000000,0.00177800,0.06000000
27,690780899,0.00178440,184.57000000,0.00177790,949.93000000
28,690780899,0.00178450,3.83000000,0.00177780,9.98000000
29,690780899,0.00178460,100.72000000,0.00177770,21.41000000
30,690780899,0.00178470,19.13000000,0.00177750,200.00000000
31,690780899,0.00178480,20.24000000,0.00177730,0.13000000
32,690780899,0.00178500,1025.10000000,0.00177720,119.81000000
33,690780899,0.00178510,5.97000000,0.00177710,92.14000000
34,690780899,0.00178520,225.86000000,0.00177700,6.30000000
35,690780899,0.00178530,4.97000000,0.00177680,948.00000000
36,690780899,0.00178540,2.94000000,0.00177630,0.25000000
37,690780899,0.00178550,0.98000000,0.00177620,0.06000000
38,690780899,0.00178560,2.77000000,0.00177600,69.02000000
39,690780899,0.00178570,8.73000000,0.00177590,0.15000000
40,690780899,0.00178580,0.06000000,0.00177570,123.41000000
41,690780899,0.00178590,1.22000000,0.00177560,400.10000000
42,690780899,0.00178600,51.42000000,0.00177550,0.37000000
43,690780899,0.00178610,0.13000000,0.00177540,0.15000000
44,690780899,0.00178620,115.70000000,0.00177530,0.25000000
45,690780899,0.00178630,4.47000000,0.00177520,0.46000000
46,690780899,0.00178640,87.85000000,0.00177510,207.78000000
47,690780899,0.00178650,30.71000000,0.00177500,0.15000000
48,690780899,0.00178660,5.43000000,0.00177490,0.10000000
49,690780899,0.00178670,214.70000000,0.00177480,0.07000000
50,690780899,0.00178680,4.66000000,0.00177470,2.88000000
51,690780899,0.00178690,17.48000000,0.00177460,0.74000000
52,690780899,0.00178700,30.07000000,0.00177450,0.09000000
53,690780899,0.00178710,19.03000000,0.00177440,4.93000000
54,690780899,0.00178720,4.51000000,0.00177430,0.85000000
55,690780899,0.00178730,65.67000000,0.00177420,1.51000000
56,690780899,0.00178740,519.23000000,0.00177410,2.36000000
57,690780899,0.00178750,38.63000000,0.00177400,30.00000000
58,690780899,0.00178760,96.84000000,0.00177390,6.15000000
59,690780899,0.00178770,63.75000000,0.00177380,3.07000000
60,690780899,0.00178780,115.56000000,0.00177370,97.16000000
61,690780899,0.00178790,18.37000000,0.00177360,0.81000000
62,690780899,0.00178800,91.34000000,0.00177350,207.06000000
63,690780899,0.00178810,6.22000000,0.00177340,1.31000000
64,690780899,0.00178820,60.09000000,0.00177330,0.85000000
65,690780899,0.00178830,1.27000000,0.00177320,406.44000000
66,690780899,0.00178840,3.82000000,0.00177310,691.87000000
67,690780899,0.00178850,46.60000000,0.00177300,10.30000000
68,690780899,0.00178860,29.65000000,0.00177290,39.07000000
69,690780899,0.00178870,63.37000000,0.00177280,4.28000000
70,690780899,0.00178880,420.12000000,0.00177270,1.70000000
71,690780899,0.00178890,7.40000000,0.00177260,1.82000000
72,690780899,0.00178900,36.94000000,0.00177250,155.69000000
73,690780899,0.00178910,63.00000000,0.00177240,984.46000000
74,690780899,0.00178920,21.92000000,0.00177230,0.39000000
75,690780899,0.00178930,127.13000000,0.00177220,2.20000000
76,690780899,0.00178940,3.52000000,0.00177210,1.09000000
77,690780899,0.00178950,57.83000000,0.00177200,3.26000000
78,690780899,0.00178960,8.19000000,0.00177190,0.45000000
79,690780899,0.00178970,28.40000000,0.00177180,1982.78000000
80,690780899,0.00178980,7.46000000,0.00177170,0.25000000
81,690780899,0.00178990,139.99000000,0.00177160,0.50000000
82,690780899,0.00179000,2986.29000000,0.00177150,1.14000000
83,690780899,0.00179010,57.91000000,0.00177140,6.68000000
84,690780899,0.00179020,57.77000000,0.00177130,0.44000000
85,690780899,0.00179030,8.70000000,0.00177120,1.16000000
86,690780899,0.00179040,2.93000000,0.00177110,3.07000000
87,690780899,0.00179050,106.27000000,0.00177100,4.16000000
88,690780899,0.00179060,54.90000000,0.00177090,2.42000000
89,690780899,0.00179070,33.86000000,0.00177080,23.22000000
90,690780899,0.00179080,2182.15000000,0.00177070,3.96000000
91,690780899,0.00179090,119.30000000,0.00177060,1.99000000
